,Comments
34,"Till today ever the Congress people have supported the budget, which brothers-in-law will do now, the real place of you people is in China, not in India, the ruthless abuses have been made for you people, you people have risen above politics till today about the interest of the country. Didn't think why should we think about you, you people have eaten the country before the arrival of Modi ji, you have looted India to the Congress people, then it means to you that if you think about the interest of the country, then you would have thought so much that we Better than anyone can handle India, I want to say this much, look at the GDP of the nineties and look at the GDP of the present, God forbid, if Modi ji had been replaced by unscrupulous Congressmen, our GDP would not have been up to a trillion, now our country Comes at number four, whose GDP is the highest, thanks Modi sir."
35,worst budget ever
36,worst budget ever
37,"Till date, it is being told that it is being said that the farmer's income will be increased from 6000 to 10000 rupees, the government is explaining to the farmers in a farmer equal fund, talk to the government, our farmer brother, the family will survive in 6000 rupees."
38,"Till date, it is being told that it is being said that the farmer's income will be increased from 6000 to 10000 rupees, the government is explaining to the farmers in a farmer equal fund, talk to the government, our farmer brother, the family will survive in 6000 rupees."
39,I have missed class today
40,you making notes
41,You press the bell icon so that you will get notification
42,"You are great, Guru g has made the budget pudding in the house."
43,You are great sir ji it is impossible to find a teacher like you
44,There is no one greater than you Gurudev ️🙏👆
45,Your style is also commendable!
46,Your brain lacks oxygen so it's running a little less.
47,Your brain lacks oxygen so it's running a little less.
48,Salute to you sir
49,"In such a great way, the budget was not presented even in the Parliament."
50,It's not a big deal to smell clothes with perfume.<br>The fun is when your character smells.
51,"The PDF of this class is pinned to you within 24 hours in the Utkarsh app and the comment box of this class, where you can get it by clicking on the given link.<br>To get free informative study material and PDF every day, definitely join Utkarsh Classes Jodhpur Telegram channel.<br><a href=""https://t.me/utkarshclasses"">https://t.me/utkarshclasses</a>"
52,"The PDF of this class is pinned to you within 24 hours in the Utkarsh app and the comment box of this class, where you can get it by clicking on the given link.<br>To get free informative study material and PDF every day, definitely join Utkarsh Classes Jodhpur Telegram channel.<br><a href=""https://t.me/utkarshclasses"">https://t.me/utkarshclasses</a>"
53,"The PDF of this class is pinned to you within 24 hours in the Utkarsh app and the comment box of this class, where you can get it by clicking on the given link.<br>To get free informative study material and PDF every day, definitely join Utkarsh Classes Jodhpur Telegram channel.<br><a href=""https://t.me/utkarshclasses"">https://t.me/utkarshclasses</a>"
54,"The PDF of this class is pinned to you within 24 hours in the Utkarsh app and the comment box of this class, where you can get it by clicking on the given link.<br>To get free informative study material and PDF every day, definitely join Utkarsh Classes Jodhpur Telegram channel.<br><a href=""https://t.me/utkarshclasses"">https://t.me/utkarshclasses</a>"
55,"The PDF of this class is pinned to you within 24 hours in the Utkarsh app and the comment box of this class, where you can get it by clicking on the given link.<br>To get free informative study material and PDF every day, definitely join Utkarsh Classes Jodhpur Telegram channel.<br><a href=""https://t.me/utkarshclasses"">https://t.me/utkarshclasses</a>"
56,"The PDF of this class is pinned to you within 24 hours in the Utkarsh app and the comment box of this class, where you can get it by clicking on the given link.<br>To get free informative study material and PDF every day, definitely join Utkarsh Classes Jodhpur Telegram channel.<br><a href=""https://t.me/utkarshclasses"">https://t.me/utkarshclasses</a>"
57,"The PDF of this class is pinned to you within 24 hours in the Utkarsh app and the comment box of this class, where you can get it by clicking on the given link.<br>To get free informative study material and PDF every day, definitely join Utkarsh Classes Jodhpur Telegram channel.<br><a href=""https://t.me/utkarshclasses"">https://t.me/utkarshclasses</a>"
58,"The PDF of this class is pinned to you within 24 hours in the Utkarsh app and the comment box of this class, where you can get it by clicking on the given link.<br>To get free informative study material and PDF every day, definitely join Utkarsh Classes Jodhpur Telegram channel.<br><a href=""https://t.me/utkarshclasses"">https://t.me/utkarshclasses</a>"
59,"The PDF of this class is pinned to you within 24 hours in the Utkarsh app and the comment box of this class, where you can get it by clicking on the given link.<br>To get free informative study material and PDF every day, definitely join Utkarsh Classes Jodhpur Telegram channel.<br><a href=""https://t.me/utkarshclasses"">https://t.me/utkarshclasses</a>"
60,"The PDF of this class is pinned to you within 24 hours in the Utkarsh app and the comment box of this class, where you can get it by clicking on the given link.<br>To get free informative study material and PDF every day, definitely join Utkarsh Classes Jodhpur Telegram channel.<br><a href=""https://t.me/utkarshclasses"">https://t.me/utkarshclasses</a>"
61,"The PDF of this class is pinned to you within 24 hours in the Utkarsh app and the comment box of this class, where you can get it by clicking on the given link.<br>To get free informative study material and PDF every day, definitely join Utkarsh Classes Jodhpur Telegram channel.<br><a href=""https://t.me/utkarshclasses"">https://t.me/utkarshclasses</a>"
62,"The PDF of this class is pinned to you within 24 hours in the Utkarsh app and the comment box of this class, where you can get it by clicking on the given link.<br>To get free informative study material and PDF every day, definitely join Utkarsh Classes Jodhpur Telegram channel.<br><a href=""https://t.me/utkarshclasses"">https://t.me/utkarshclasses</a>"
63,"The PDF of this class is pinned to you within 24 hours in the Utkarsh app and the comment box of this class, where you can get it by clicking on the given link.<br>To get free informative study material and PDF every day, definitely join Utkarsh Classes Jodhpur Telegram channel.<br><a href=""https://t.me/utkarshclasses"">https://t.me/utkarshclasses</a>"
64,"The PDF of this class is pinned to you within 24 hours in the Utkarsh app and the comment box of this class, where you can get it by clicking on the given link.<br><a href=""https:// t.me/utkarshclasses/11690"">https://t.me/utkarshclasses/11690</a>"
65,"The PDF of this class is pinned to you within 24 hours in the Utkarsh Classes Jodhpur Telegram channel and the comment box of this class, where you can get it by clicking on the given link.<br>To get free informative study material and PDF every day, definitely join Utkarsh Classes Jodhpur Telegram channel.<br><a href=""https://t.me/utkarshclasses"">https://t.me/utkarshclasses</a>"
66,"The PDF of this class is pinned to you within 24 hours in the Utkarsh Classes Jodhpur Telegram channel and the comment box of this class, where you can get it by clicking on the given link.<br>To get free informative study material and PDF every day, definitely join Utkarsh Classes Jodhpur Telegram channel.<br><a href=""https://t.me/utkarshclasses"">https://t.me/utkarshclasses</a>"
67,"The PDF of this class is pinned to you within 24 hours in the Utkarsh Classes Jodhpur Telegram channel and the comment box of this class, where you can get it by clicking on the given link.<br>To get free informative study material and PDF every day, definitely join Utkarsh Classes Jodhpur Telegram channel.<br><a href=""https://t.me/utkarshclasses"">https://t.me/utkarshclasses</a>"
68,"The PDF of this class is pinned to you within 24 hours in the Utkarsh Classes Jodhpur Telegram channel and the comment box of this class, where you can get it by clicking on the given link.<br>To get free informative study material and PDF every day, definitely join Utkarsh Classes Jodhpur Telegram channel.<br><a href=""https://t.me/utkarshclasses"">https://t.me/utkarshclasses</a>"
69,"The PDF of this class is pinned to you within 24 hours in the Utkarsh Classes Jodhpur Telegram channel and the comment box of this class, where you can get it by clicking on the given link.<br>Free daily informative study material And to get PDF, definitely join Utkarsh Classes Jodhpur Telegram channel.<br><a href=""https://t.me/utkarshclasses"">https://t.me/utkarshclasses</a>"
70,PDF of this class was not given what happened
71,"You are not giving the PDF of this class, what is the matter"
72,Utkarsh Coaching
73,"For high dreams one has to work from the depths of the heart ♥️ , <br>success does not happen just like that one has to burn day and night in the fire of hard work."
74,One like for the voice of Kumar Gaurav sir
75,Get the news anchor's name one day too <br> national party president and simbla
76,Had to ask one thing??<br>If there is no selection in the police!<br>then can I open my own private police station<br>Can??<br>I want to be self dependent.
77,"Once the people of a village saw that a jackal is following a bull day and night. Whether he grazes on grass or drinks water, or takes rest or travels distance from village to village, the jackal used to live with him continuously. It used to be behind him that at some point these fruits would drip and fall on his hands. Needless to say that the jackal's hope was never to be fulfilled, but he did not give up.<br><br>So hey wats! Those who are egg-devotees are people of the same jackal category. They feel that one day the promises of Modi ji will be fulfilled, the announcements will bring color and they will also get the fruits of India's progress and their life will become happy. <br>Even after coming in front of all the rhetoric, his Modi ji does not lose hope and he keeps on following Modi like that jackal. Such devotees have been adorned by the scholars with the name of 'Andabhakt'.<br>😂😂😂"
78,"Once the people of a village saw that a jackal is following a bull day and night. Whether he grazes on grass or drinks water, or takes rest or travels distance from village to village, the jackal used to live with him continuously. It used to be behind him that at some point these fruits would drip and fall on his hands. Needless to say that the jackal's hope was never to be fulfilled, but he did not give up.<br><br>So hey wats! Those who are egg-devotees are people of the same jackal category. They feel that one day the promises of Modi ji will be fulfilled, the announcements will bring color and they will also get the fruits of India's progress and their life will become happy. <br>Even after coming in front of all the rhetoric, his Modi ji does not lose hope and he keeps on following Modi like that jackal. Such devotees have been adorned by the scholars with the name of 'Andabhakt'.<br>😂😂😂"
79,"Oh, how much is being spent, <br>not a single poor person is going to get anything <br>Aye all the rich people will get up"
80,"Oh, how much is being spent, <br>not a single poor person is going to get anything <br>Aye all the rich people will get up"
81,Oh Teri..... <br>Happy🍫🍫 Day <br>Good Night <b>Jagrati Singh</b> ji.....
82,Do more flattery Modi's Anjana ji will make you the Chief Minister too
83,Do more flattery Modi's Anjana ji will make you the Chief Minister too
84,absolutely poison
85,Absolutely poison teacher ki absolutely poison class..🙏🙏<br>Thank you very much Guruji 🙏🙏
86,veritable poison question
87,Have fun with your class sir ji.
88,Guruji is absolutely a poison class<br>🕜🙏🙏🙏🙏🙏🙏🙏🙏🏃🏃🏃
89,"Taught some poison budget, sir you created a blast in Tehelka class <br>Thank you very much sir ji & lovely Rajudi🙏🏻🙏🏻"
90,Absolutely poison sir ji explained the budget in a very easy way <br>Thank you 🙏🙏🙏👍👍👍
91,Absolutely poison...
92,Tell the pigeons.<br>that there is no sound in the flight of the eagle...<br>🌹 🙏
93,Even if there are thousands of shortcomings<br>In you but believe in yourself<br> Keep that you have the ability to do better<br><br><br> Jai Shree Krishna ♂
94,"If India is becoming self-reliant only by privatization of companies, then blessed is the government and its thinking."
95,"If India is becoming self-reliant only by privatization of companies, then blessed is the government and its thinking."
96,"Will do it sir, you have only given so much"
97,Those who wait for cashew nuts get as much as those who eat rasgulla leave.
98,Work in such a way that it becomes an identity<br>walk every step in such a way that it becomes a mark<br>here life is cut off by everyone<br>live life in such a way that it becomes an example<br> By Ravi Bansawara
99,I wish you don't fuck so much
100,To whom did you enjoy today's Tehelka class?
101,Who and what Rasgulla liked this budget class?
102,Who liked the budget pudding and liked it?
103,Who liked Tehelka's entry in the beginning of the class
104,Farmers movement should now be converted into an anti-reservation movement because most of the exploitation is being done by reservation itself. Please do not like this comment and share it by copying the comment.
105,Farmers movement should now be converted into an anti-reservation movement because most of the exploitation is being done by reservation itself. Please do not like this comment and share it by copying the comment.
106,"The only thing I would say to the farmers is that the government refused to admit its mistake, because everything has been done knowingly. You have also seen the arrogance of power. She will not take back this bill at all because big traders had started buying land in the country even before this bill was made. Due to the Corona epidemic, he understood that there is bound to be a loss in almost every business except agriculture. Where all the business is going into losses, it is only agriculture which has shown benefit in the epidemic, just keeping that benefit in mind, this bill was brought and even before that the traders invested billions in it as if they It was already known that the government is going to bring such a bill.<br>Now the farmers should also do farming, save their crops from going into the hands of these few selected traders. Build such a structure and chain that you do agriculture, and your people should take it to the people of the country as well. You don't need any trader from any government to sell your crop. Give work to your people Get people who need work and don't even take advantage of you.<br>Suppose the road is difficult but not as much as you are facing now. The government has left no stone unturned in closing all your avenues.<br><br>(If any friend likes my suggestion, then can share it to other people or else stay there and share the video of dance and song. Keep doing it.)"
107,"The only thing I would say to the farmers is that the government refused to admit its mistake, because everything has been done knowingly. You have also seen the arrogance of power. She will not take back this bill at all because big traders had started buying land in the country even before this bill was made. Due to the Corona epidemic, he understood that there is bound to be a loss in almost every business except agriculture. Where all the business is going into losses, it is only agriculture which has shown benefit in the epidemic, just keeping that benefit in mind, this bill was brought and even before that the traders invested billions in it as if they It was already known that the government is going to bring such a bill.<br>Now the farmers should also do farming, save their crops from going into the hands of these few selected traders. Build such a structure and chain that you do agriculture, and your people should take it to the people of the country as well. You don't need any trader from any government to sell your crop. Give work to your people Get people who need work and don't even take advantage of you.<br>Suppose the road is difficult but not as much as you are facing now. The government has left no stone unturned in closing all your avenues.<br><br>(If any friend likes my suggestion, then can share it to other people or else stay there and share the video of dance and song. Keep doing it.)"
108,"No newspaper people have published our news on the main page today.<br>From today we all unemployed take a pledge that by all means we will boycott such media <br> not to read newspapers, we will buy to clean etc.< br>Boycott media and TV channels"
109,"No newspaper people have published our news on the main page today.<br>From today we all unemployed take a pledge that by all means we will boycott such media <br> not to read newspapers, we will buy to clean etc.< br>Boycott media and TV channels"
110,"Like a flower-leaf class about any one subject, a class should be done on YouTube so that state level preparation can be done."
111,Someone has rightly said <br>we study students only <br>Agni test is for parents 🙏<br><br>One like for mother bapu... <br>👇
112,Luck and pocket are both torn<br>our<br>That's why nothing stays in life|<br>broken dream
113,Something has been left in it.
114,This class on Kumar Gaurav sir's current affairs is useful for every competitive exam.
115,Is there any Sep. Studying in <br><br><br>Thanks sir
116,is there anything new in the budget
117,What do you teach...<br>🤣🤣🤣<br>❤️❤️❤️<br>😁😁😁<br>🙏🙏🙏
118,What are you kidding man...!!😅😂😂
119,"Why should you die tearing your mouth like an idiot, how many days it has been for you farmers today, no one is listening to them"
120,"Please ask to talk in Hindi, this is India, Hindi should be spoken here, more people of India know more Hindi."
121,can open
122,buffalo in water
123,The buffalo went in the water.
124,Wonderful class head you are great revolutionary Jai Hind...
125,Amazing class ️❤️❤️❤️❤️
126,Awesome guru.
127,traitor no.1 till date
128,traitor no.1 till date
129,traitors
130,traitors
131,"Guru + a = pride.<br>that is, one who is also the guru and also the motive."
132,Take refuge in the Guru<br>There will be no need to go to the shelter of anyone <br>Brothers
133,guru ji you are blessed
134,dock till date
135,dock till date
136,Godi Media's name will be remembered for life
137,Godi Media's name will be remembered for life
138,Godi media is betraying the country
139,Godi media is betraying the country
140,Friends are like for this hard work of Gaurav sir... 🙏💯<br>👇
141,Whoever loves Gaurav sir is only like kere
142,1 like for Chal Juthi
143,Come on...
144,One like is made for chal liar ️❤️❤️❤️❤️❤️
145,There is a limit to licking <br>Godi Media ki Jai Ho
146,There is a limit to licking <br>Godi Media ki Jai Ho
147,There is no budget in the interest of the public
148,"When I took the desire in my eyes<br>Took the destination as my own🛤<br>What is difficult what is easy<br>When I have decided, I am determined🎯🎯🗽<br>🌺🌺🌺🌿🌿🌿🌿🌿<br>Good night Sir🙏🙏🙏🙏<br>Radhe Radhe"
149,Until you win<br>Nobody will be INTEREST in your<br>story<br>So show the world as much as you can.
150,Until you break <br>Won't leave till then. <br>
151,"When the pond is full, the fish eat the ants, and when the pond is empty, the ants eat the fish<br> Everyone gets a chance, just wait for your turn."
152,Jai Kisan Jai Jawan Jai Hind Bharat Mata Ki Jai
153,Jai Kisan Jai Jawan Jai Hind Bharat Mata Ki Jai
154,Jai Bhim Jai Bharat Jai Constitution.
155,jai siyaram❤❤❤❤❤
156,Jai Hind
157,Jai Hind
158,Jai Hind
159,Jai Hind
160,jai ho gurudev yours
161,poison sir
162,"Life is never easy, you have to make yourself strong, better times do not come from the front, you have to make yourself better inferior."
163,If you want to be alive then <br>how to be afraid of the condition<br>If war is inevitable<br>Laskars are not seen.<br>🔥🔥👍<br>Jai Hind
164,Those who have the courage to walk alone<br>One day there are convoys behind them.
165,"It is easy to run away from the difficulties of life, <br>Every aspect in life is a test, <br>Those who are afraid do not get anything in life<br> There is joy in the feet of those who fight."
166,"Life is also like <br><br>Google<br><br>Search,<br><br>As many questions as you ask,<br><br>When the time comes,<br><br>he answers all Will give"
167,"If you want to stay alive then why should you be afraid of the situation?<br>If war is inevitable, then Lashkar is not seen."
168,"Absolutely, REET Level Ist/IInd SST Online Course Combo Fee is 4500/- and REET Level Ist/IInd Science Math Online Course Combo Fee is 5000/- To buy online course first go to play store and download Utkarsh app, Log in with your mobile number and desired password. Click on the link to download Utkarsh App now. <br><a href=""http://utkarsh.onelink.me/Lc5j/2b6f5416"">utkarsh.onelink.me/Lc5j/2b6f5416</a>"
169,"There should be victory or defeat, competition should be of competition ️❤️❤️❤️"
170,"Jeen Hindus are ashamed, I am sorry to say Shri Ram, I am ashamed of those Hindupur Jai Shri Ram subscribe my channel"
171,"If trouble comes in life, don't ever panic."
172,"Just as the people of the house are able to survive only for a few days by mortgaging or selling the items of the house when the calamity comes, this government too has now come to power by selling the resources of the country and living its own life to save its existence. is living. The government will not allow any reduction in the things of its hobbies and luxuries. Without giving the people and the resources of the country in private hands, if you show the progress of the country, then the government is considered to be iron, otherwise anyone can run the government by selling the country's resources and will not fail to praise itself."
173,"Just as the people of the house are able to survive only for a few days by mortgaging or selling the items of the house when the calamity comes, this government too has now come to power by selling the resources of the country and living its own life to save its existence. is living. The government will not allow any reduction in the things of its hobbies and luxuries. Without giving the people and the resources of the country in private hands, if you show the progress of the country, then the government is considered to be iron, otherwise anyone can run the government by selling the country's resources and will not fail to praise itself."
174,Those who are fond of flying!!<br>They are not afraid of falling!!!<br>Keep it up guy's ️🙏🏻🙏🏻
175,"The lovely lovely eyes that are falling on my comment, may God make their parents long and they can get whatever they want ️❤️❤️❤️"
176,how to join telegram sir good night sir
177,Rising diesel petrol prices do not bother the cave sons <br>because <br>mustard oil is used in the cave
178,dhongi channel dhongi baba asharam
179,dhongi channel dhongi baba asharam
180,There should be yearning for success<br>thinking takes any
181,"Tai, if the country is not running, then sit with a chimney mat, at least the business will do well"
182,"Tai, if the country is not running, then sit with a chimney mat, at least the business will do well"
183,"You will not have to file income tax, we will deduct it ourselves."
184,Make yourself strong.
185,Thank you sir ji has done amazing today 🙏🙏🏼🙏🏼🙏🏼
186,Dalal media history will be remembered when the media that was serving the country was surprised to do sarcasm
187,Dalal media history will be remembered when the media that was serving the country was surprised to do sarcasm
188,Dalal Media Murdabad
189,Dalal Media Murdabad
190,"Where is the enemy to be nurtured, till where does the war go till the lock, you are the son of Rana, you throw the spear as far as it goes."
191,"Look, it is not only us, it is also a jda rascal with us."
192,"Giving such a budget in these adverse circumstances of the country is above expectation. It is a miracle, a proof of the government's dedication towards development. <br>-Yugdarpan®2001 Media Group YDMS👑"
193,Future Finance Minister of the country---Phool Patti Wale Kumar Gaurav Sir (Finance Minister with absolute majority)
194,"Will not let the country be sold, I will sell everything else"
195,"Will not let the country be sold, I will sell everything else"
196,No investment was made for two crore jobs.
197,You can never guess two things<br>mother's love and father's ability<br>👍👍👍👍❤️👍👍👍👍👍
198,How far should the conflict be maintained <br>How far the war should be avoided<br> You are a descendant of Rana <br> Throw the spear as far as it goes.....<br>. The spear of your labor will open the skull of the test directly
199,"Blessed be Rajuri team & Gaurav sir, our budget has been presented today, this is why we have to work for the whole year, thank you Gurudev"
200,Thank you sir
201,Thanks 🙏 sir
202,"Thank you sir ji & Rajudi team 🙏🙏<br>Brother, the budget has passed the poison, but there is nothing for the annadata (farmers) in it😒🙄<br>How do I lose in front of these troubles,😊<br>my Since when is the mother sitting in the hope of progress?"
203,"Thank you sir ji & Rajudi team 🙏🙏<br>Brother, the budget has passed the poison, but there is nothing for the annadata (farmers) in it😒🙄🤪😳<br>How do I lose in front of these troubles,😊<br >My mother is sitting in the hope of progress since when <br><br>Gaurav ki Ladli Nikku"
204,Thanks sir very nice information about budget
205,Thank you our dear rasgulla sir ji
206,"Thank you sir, after watching this video of you went to give exam 2 3 questions were from budget"
207,There should be neither defeat nor fatigue.
208,hello sir
209,hello sir jee
210,"Hello sir,<br><br>As Nirmal Gehlot sir said, add Rajasthan Patwar revision classes in Utkarsh Patwar online course.<br><br><br>Thanks.<br><br> >🙏"
211,what is nalla
212,"Never get tired, never lose your feet<br>Have the courage to do something in life<br>So the journey is still going on"
213,"Never get tired, never lose your feet<br>Have the courage to do something in life<br>So the journey is still going on"
214,Were neither tired nor feet nor have I ever lost courage
215,Nice Guru ji
216,Politicians ki kutta hai sab ke sab media
217,Politicians ki kutta hai sab ke sab media
218,Loved the method of teaching but even better My Dear Rasgulla.
219,Read and sell pakodas? Sell ​​illiterate trees. my india is great
220,Read and sell pakodas? Sell ​​illiterate trees. my india is great
221,"Even if it is autumn, you make the weather green,<br>You laugh, you smile and cry less, if you are difficult, teach them a lesson. <br>You are alive, give life to your nose."
222,"Pappu was asked, will you say anything on the budget? The answer came, I have to speak, otherwise those who used to call me Pappu till now. Now you will start saying dumb pappu. Hahaha"
223,It took a lot of hard work.
224,"For the first time, the budget year 2020-2021 has been told so well. Thank you sir sir in daily current affairs apke sawal important rehte h..."
225,"First came the corona, then came the vaccine, now all the private companies are going without the vaccine, do not know where the corona disappeared"
226,"First came the corona, then came the vaccine, now all the private companies are going without the vaccine, do not know where the corona disappeared"
227,Demand for Male Commission<br> <br>Male Commission for Justice <br>Yogi does not vote
228,Demand for Male Commission<br> <br>Male Commission for Justice <br>Yogi does not vote
229,"The whole country has understood that Modi ji has sold the country and how much will he sell, now don't give us more lollipops"
230,"The whole country has understood that Modi ji has sold the country and how much will he sell, now don't give us more lollipops"
231,"Cheer with love, salute to Gurudev, Jai of the flower-leaf maharaj"
232,We don't have fake logos
233,Firat not Firat
234,Phool Patti will help in every exam of 2021.<br>Bole Bake Bihari Lal Ki Jai
235,"The Kalas with flower leaves was alive, is alive and will remain alive.<br>Jai Ho Guruji yours."
236,Thrown Sir Spear#### 87.58m@@@@
237,Can't find budget class ki pdf
238,How did you feel about the budget?
239,What happened when the budget was not given?
240,Budget PDF kha milegi PTA hai kya ???
241,where is the pdf of the budget said sir not put what sir please sir
242,You have tried to explain the budget in a very good way 🙏🙏<br>Although there are many classes but this class is the best of these 🙏🙏<br>whether Prashant Dhawan sir dr Mahipal sir or Ankit Awasthi sir only budget Best class in terms of
243,Don't put too much mind in the budget <br>Sudhir_Chowdhary to tell the advantages <br>Ravish_Kumar is kept to tell the disadvantages <br>😜😜😜
244,Don't put too much mind in the budget <br>Sudhir_Chowdhary to tell the advantages <br>Ravish_Kumar is kept to tell the disadvantages <br>😜😜😜
245,The budget should be passed in Hindi.<br>Some are like me that they do not know English.<br>If the budget in India.<br>Will not pass in Hindi only.<br>So the budget is for us. What is the use.<br>We will understand what in that budget.
246,I would just say that I had fun in class.
247,was very achi cls
248,very good sir you told in very beautiful way
249,Thanks a lot Sir
250,thank you very much sir
251,very nice brother
252,Very best budget class sir ji.....✍️👌<br><b>good night sir and utkarsh family</b>.....😴
253,"Obstacles are like Kaurava's party, you travel on all these<br>By becoming a warrior like Arjun, take the Gandiv and break"
254,"Nothing is achieved without hard work...<br>Friends, nature gives food to the bird...<br>Sure, but not in the nest...<br>👌👌👌👌"
255,Absolutely Sharma ji..... <br>This full majority is of full leaf <b>lion and lionesses</b>......🐅👍
256,BJP Murdabad
257,BJP Murdabad
258,Unemployed people have nothing
259,For the unemployed<br> Baba Ji's ....🔔
260,For the unemployed<br> Baba Ji's ....🔔
261,Bol Banke Bihari Lal Ki
262,Say 'Banke Bihari Lal Ki Jai'
263,Say 'Banke Bihari Lal Ki Jai'
264,There is not much difference between a devotee and a madman<br>both look the same.
265,There is not much difference between a devotee and a madman<br>both look the same.
266,Parents are more than God because God gives both happiness and sorrow but parents give only happiness
267,I found Bhandara later.
268,Brother we had come to show the fair
269,Brother we had come to show the fair
270,Be self-reliant in India wow wow what is the matter
271,Be self-reliant in India wow wow what is the matter
272,"The crowd always walks on the path which seems easy, but that does not mean that the crowd always walks on the right path. Choose your own path because no one knows you better than you."
273,"Buffalo's mossy also came, today I have got her slippers"
274,have fun sir
275,The destination is not far away...... <br> thank u sir
276,"Manzil said to Hoslo that it is not about you. <br><br>Hoslo put his eyes in the eyes of the destination and said, come on false, you are not so capable ye baat aapki hmesha motivate krti hai sir g"
277,Manzil said to Hoslo it's not about your love;
278,"Manzil said to the spirits, it is not about your bus, the spirits told to the destination that you are not so much a liar ️"
279,"The floor said to the spirits, it is not about your bus<br>Hoslo put his eyes in the eyes of the floor and said, you are not so much a lie."
280,Manzil told Hoslo that your bus is not the matter <br> Hoslo has lost her eyes in the eyes of Manzil<br>You don't have so much status...😃😅
281,"Don't run after anyone, let him go whoever goes, he will come back and let himself be successful…."
282,where did MGNREGA go
283,like for mom
284,Like for mom
285,Ma tu dream big to see <br>1 like for ma
286,"Honorable Prime Minister sir ji has been pleading for 3 years to return our deposited money, for 20 years Adarsh ​​Credit Co-Operative Society was working regularly, we have deposited money of poor, no hearing. Till when hearing Will be"
287,"Honorable Prime Minister sir ji has been pleading for 3 years to return our deposited money, for 20 years Adarsh ​​Credit Co-Operative Society was working regularly, we have deposited money of poor, no hearing. Till when hearing Will be"
288,"Honorable Prime Minister sir ji has been pleading for 3 years to return our deposited money, for 20 years Adarsh ​​Credit Co-Operative Society was working regularly, we have deposited money of poor, no hearing. Till when hearing Will be"
289,"Honorable Prime Minister sir ji has been pleading for 3 years to return our deposited money, for 20 years Adarsh ​​Credit Co-Operative Society was working regularly, we have deposited money of poor, no hearing. Till when hearing Will be"
290,"Honorable Prime Minister sir ji has been pleading for 3 years to return our deposited money, for 20 years Adarsh ​​Credit Co-Operative Society was working regularly, we have deposited money of poor, no hearing. Till when hearing Will be"
291,"Honorable Prime Minister sir ji has been pleading for 3 years to return our deposited money, for 20 years Adarsh ​​Credit Co-Operative Society was working regularly, we have deposited money of poor, no hearing. Till when hearing Will be"
